species_name_audit_pk	species_pk	source_dataset	source_species_name	species_normalized	match_status
219		meiri	Geomyersia coggeri	geomyersia_coggeri	normalized_no_species_lookup_provided
220		meiri	Lampropholis amicula	lampropholis_amicula	normalized_no_species_lookup_provided
221		meiri	Lankascincus merrill	lankascincus_merrill	normalized_no_species_lookup_provided
222		meiri	Leptoseps poilani	leptoseps_poilani	normalized_no_species_lookup_provided
223		meiri	Lygisaurus novaeguineae	lygisaurus_novaeguineae	normalized_no_species_lookup_provided
224		meiri	Lygisaurus parrhasius	lygisaurus_parrhasius	normalized_no_species_lookup_provided
225		meiri	Lygisaurus sesbrauna	lygisaurus_sesbrauna	normalized_no_species_lookup_provided
226		meiri	Lygisaurus zuma	lygisaurus_zuma	normalized_no_species_lookup_provided
227		meiri	Madascincus macrolepis	madascincus_macrolepis	normalized_no_species_lookup_provided
228		meiri	Nannoscincus greeri	nannoscincus_greeri	normalized_no_species_lookup_provided
229		meiri	Nannoscincus hanchisteus	nannoscincus_hanchisteus	normalized_no_species_lookup_provided
230		meiri	Nannoscincus koniambo	nannoscincus_koniambo	normalized_no_species_lookup_provided
231		meiri	Nannoscincus manautei	nannoscincus_manautei	normalized_no_species_lookup_provided
232		meiri	Nannoscincus slevini	nannoscincus_slevini	normalized_no_species_lookup_provided
233		meiri	Paracontias kankana	paracontias_kankana	normalized_no_species_lookup_provided
234		meiri	Parvoscincus palawanensis	parvoscincus_palawanensis	normalized_no_species_lookup_provided
235		meiri	Sphenomorphus bignelli	sphenomorphus_bignelli	normalized_no_species_lookup_provided
236		meiri	Sphenomorphus buettikoferi	sphenomorphus_buettikoferi	normalized_no_species_lookup_provided
237		meiri	Sphenomorphus sheai	sphenomorphus_sheai	normalized_no_species_lookup_provided
238		meiri	Sphenomorphus tridigitus	sphenomorphus_tridigitus	normalized_no_species_lookup_provided
239		meiri	Tytthoscincus jaripendek	tytthoscincus_jaripendek	normalized_no_species_lookup_provided
240		meiri	Coleodactylus meridionalis	coleodactylus_meridionalis	normalized_no_species_lookup_provided
241		meiri	Lepidoblepharis emberawoundule	lepidoblepharis_emberawoundule	normalized_no_species_lookup_provided
242		meiri	Lepidoblepharis williamsi	lepidoblepharis_williamsi	normalized_no_species_lookup_provided
243		meiri	Pristurus minimus	pristurus_minimus	normalized_no_species_lookup_provided
244		meiri	Pristurus phillipsii	pristurus_phillipsii	normalized_no_species_lookup_provided
245		meiri	Pseudogonatodes guianensis	pseudogonatodes_guianensis	normalized_no_species_lookup_provided
246		meiri	Pseudogonatodes lunulatus	pseudogonatodes_lunulatus	normalized_no_species_lookup_provided
247		meiri	Saurodactylus mauritanicus	saurodactylus_mauritanicus	normalized_no_species_lookup_provided
248		meiri	Saurodactylus slimanii	saurodactylus_slimanii	normalized_no_species_lookup_provided
249		meiri	Sphaerodactylus armstrongi	sphaerodactylus_armstrongi	normalized_no_species_lookup_provided
250		meiri	Sphaerodactylus asterulus	sphaerodactylus_asterulus	normalized_no_species_lookup_provided
251		meiri	Sphaerodactylus beattyi	sphaerodactylus_beattyi	normalized_no_species_lookup_provided
252		meiri	Sphaerodactylus becki	sphaerodactylus_becki	normalized_no_species_lookup_provided
253		meiri	Sphaerodactylus cochranae	sphaerodactylus_cochranae	normalized_no_species_lookup_provided
254		meiri	Sphaerodactylus continentalis	sphaerodactylus_continentalis	normalized_no_species_lookup_provided
255		meiri	Sphaerodactylus docimus	sphaerodactylus_docimus	normalized_no_species_lookup_provided
256		meiri	Sphaerodactylus glaucus	sphaerodactylus_glaucus	normalized_no_species_lookup_provided
257		meiri	Sphaerodactylus inigoi	sphaerodactylus_inigoi	normalized_no_species_lookup_provided
258		meiri	Sphaerodactylus lazelli	sphaerodactylus_lazelli	normalized_no_species_lookup_provided
259		meiri	Sphaerodactylus leucaster	sphaerodactylus_leucaster	normalized_no_species_lookup_provided
260		meiri	Sphaerodactylus levinsi	sphaerodactylus_levinsi	normalized_no_species_lookup_provided
261		meiri	Sphaerodactylus monensis	sphaerodactylus_monensis	normalized_no_species_lookup_provided
262		meiri	Sphaerodactylus sabanus	sphaerodactylus_sabanus	normalized_no_species_lookup_provided
263		meiri	Sphaerodactylus shrevei	sphaerodactylus_shrevei	normalized_no_species_lookup_provided
264		meiri	Sphaerodactylus townsendi	sphaerodactylus_townsendi	normalized_no_species_lookup_provided
